      Signal_1            Signal_2      Expected Continuity         min                 max         
     TES_BIAS_7          TES_BIAS_9          Connected           200.000000          800.000000     
     TES_BIAS_7          SQF_RTN_7          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7            SQF_8            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7           SQ_RTN_8          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7            SQF_9            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7          SQ_RTN_10          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7         TES_BIAS_10          Connected           200.000000          800.000000     
     TES_BIAS_7            SQ_11            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7          SQF_RTN_10         Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7            SQF_11           Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7              R+             Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7              R-             Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7           SQ_RTN_6          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7          TES_BIAS_6          Connected           200.000000          800.000000     
     TES_BIAS_7             SQ_7            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7          SQF_RTN_6          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7          TES_BIAS_8          Connected           200.000000          800.000000     
     TES_BIAS_7            SQF_7            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7          SQF_RTN_8          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7             SQ_8            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7          SQF_RTN_9          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7           SQ_RTN_9          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7             SQ_9            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7            SQ_10            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7         TES_BIAS_11          Connected           200.000000          800.000000     
     TES_BIAS_7          SQ_RTN_11          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7            SQF_10           Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7          SQF_RTN_11         Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7            QDR_3             Connected           100.000000      1000000400.000000  
     TES_BIAS_7            QFB_3            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7            QDR_2             Connected           100.000000      1000000400.000000  
     TES_BIAS_7            QFB_2            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7            QDM_2             Connected           100.000000      1000000400.000000  
     TES_BIAS_7           QGSET_2            Connected           100.000000      1000000400.000000  
     TES_BIAS_7            QDM_3             Connected           100.000000      1000000400.000000  
     TES_BIAS_7           QGSET_3            Connected           100.000000      1000000400.000000  
     TES_BIAS_7           QBIAS_2           Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7           QRST_B-            Connected           100.000000      1000000400.000000  
     TES_BIAS_7           QBIAS_3           Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7           QRST_B+            Connected           100.000000      1000000400.000000  
     TES_BIAS_7            LED_3            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7         LED_COM_BOT         Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7            LED_4            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7            LED_5            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7          AGND_BOT_1          Connected           100.000000          400.000000     
     TES_BIAS_7          AGND_BOT_2          Connected           100.000000          400.000000     
     TES_BIAS_7          TES_BIAS_4          Connected           200.000000          800.000000     
     TES_BIAS_7            SQF_5            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7             SQ_5            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7          SQF_RTN_4          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7           SQ_RTN_4          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7             SQ_3            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7          TES_BIAS_2          Connected           200.000000          800.000000     
     TES_BIAS_7             SQ_2            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7          SQF_RTN_3          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7          SQF_RTN_2          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7            SQF_1            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7             SQ_1            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7          SQF_RTN_0          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7           SQ_RTN_0          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7           THERM_V-          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7           THERM_V+          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7           THERM_I-          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7          TES_BIAS_5          Connected           200.000000          800.000000     
     TES_BIAS_7          SQF_RTN_5          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7           SQ_RTN_5          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7            SQF_4            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7             SQ_4            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7           SQ_RTN_3          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7          TES_BIAS_3          Connected           200.000000          800.000000     
     TES_BIAS_7           SQ_RTN_2          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7            SQF_3            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7          TES_BIAS_0          Connected           200.000000          800.000000     
     TES_BIAS_7          TES_BIAS_1          Connected           200.000000          800.000000     
     TES_BIAS_7            SQF_2            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7          SQF_RTN_1          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7           SQ_RTN_1          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7            SQF_0            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7             SQ_0            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7           THERM_I+          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7            QDR_0             Connected           100.000000      1000000400.000000  
     TES_BIAS_7            QFB_0            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7            QDR_1             Connected           100.000000      1000000400.000000  
     TES_BIAS_7            QFB_1            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7           QGSET_0            Connected           100.000000      1000000400.000000  
     TES_BIAS_7            QDM_0             Connected           100.000000      1000000400.000000  
     TES_BIAS_7           QGSET_1            Connected           100.000000      1000000400.000000  
     TES_BIAS_7            QDM_1             Connected           100.000000      1000000400.000000  
     TES_BIAS_7           QBIAS_1           Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7           QRST_T-            Connected           100.000000      1000000400.000000  
     TES_BIAS_7           QBIAS_0           Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7           QRST_T+            Connected           100.000000      1000000400.000000  
     TES_BIAS_7            LED_2            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7            LED_0            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7            LED_1            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7         LED_COM_TOP         Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7          AGND_TOP_1         Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_7          AGND_TOP_2         Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             SQF_6            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           TES_BIAS_9         Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           SQF_RTN_7          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             SQF_8            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            SQ_RTN_8          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             SQF_9            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           SQ_RTN_10          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7          TES_BIAS_10         Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             SQ_11            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           SQF_RTN_10         Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             SQF_11           Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7               R+             Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7               R-             Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            SQ_RTN_6          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           TES_BIAS_6         Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7              SQ_7             Connected          8000.000000         12000.000000    
      SQ_RTN_7           SQF_RTN_6          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           TES_BIAS_8         Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             SQF_7            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           SQF_RTN_8          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7              SQ_8            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           SQF_RTN_9          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            SQ_RTN_9          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7              SQ_9            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             SQ_10            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7          TES_BIAS_11         Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           SQ_RTN_11          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             SQF_10           Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           SQF_RTN_11         Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             QDR_3            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             QFB_3            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             QDR_2            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             QFB_2            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             QDM_2            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            QGSET_2           Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             QDM_3            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            QGSET_3           Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            QBIAS_2           Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            QRST_B-           Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            QBIAS_3           Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            QRST_B+           Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             LED_3            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7          LED_COM_BOT         Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             LED_4            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             LED_5            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           AGND_BOT_1         Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           AGND_BOT_2         Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           TES_BIAS_4         Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             SQF_5            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7              SQ_5            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           SQF_RTN_4          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            SQ_RTN_4          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7              SQ_3            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           TES_BIAS_2         Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7              SQ_2            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           SQF_RTN_3          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           SQF_RTN_2          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             SQF_1            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7              SQ_1            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           SQF_RTN_0          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            SQ_RTN_0          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            THERM_V-          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            THERM_V+          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            THERM_I-          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           TES_BIAS_5         Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           SQF_RTN_5          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            SQ_RTN_5          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             SQF_4            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7              SQ_4            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            SQ_RTN_3          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           TES_BIAS_3         Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            SQ_RTN_2          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             SQF_3            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           TES_BIAS_0         Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           TES_BIAS_1         Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             SQF_2            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           SQF_RTN_1          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            SQ_RTN_1          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             SQF_0            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7              SQ_0            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            THERM_I+          Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             QDR_0            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             QFB_0            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             QDR_1            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             QFB_1            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            QGSET_0           Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             QDM_0            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            QGSET_1           Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             QDM_1            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            QBIAS_1           Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            QRST_T-           Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            QBIAS_0           Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7            QRST_T+           Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             LED_2            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             LED_0            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7             LED_1            Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7          LED_COM_TOP         Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           AGND_TOP_1         Disconnected        4.000000E+07        1.000000E+38    
      SQ_RTN_7           AGND_TOP_2         Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             TES_BIAS_9         Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             SQF_RTN_7          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               SQF_8            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              SQ_RTN_8          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               SQF_9            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             SQ_RTN_10          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6            TES_BIAS_10         Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               SQ_11            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             SQF_RTN_10         Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               SQF_11           Disconnected        4.000000E+07        1.000000E+38    
       SQF_6                 R+             Disconnected        4.000000E+07        1.000000E+38    
       SQF_6                 R-             Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              SQ_RTN_6          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             TES_BIAS_6         Disconnected        4.000000E+07        1.000000E+38    
       SQF_6                SQ_7            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             SQF_RTN_6           Connected          5000.000000         8000.000000     
       SQF_6             TES_BIAS_8         Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               SQF_7            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             SQF_RTN_8          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6                SQ_8            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             SQF_RTN_9          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              SQ_RTN_9          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6                SQ_9            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               SQ_10            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6            TES_BIAS_11         Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             SQ_RTN_11          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               SQF_10           Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             SQF_RTN_11         Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               QDR_3            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               QFB_3            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               QDR_2            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               QFB_2            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               QDM_2            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              QGSET_2           Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               QDM_3            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              QGSET_3           Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              QBIAS_2           Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              QRST_B-           Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              QBIAS_3           Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              QRST_B+           Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               LED_3            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6            LED_COM_BOT         Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               LED_4            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               LED_5            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             AGND_BOT_1         Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             AGND_BOT_2         Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             TES_BIAS_4         Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               SQF_5            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6                SQ_5            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             SQF_RTN_4          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              SQ_RTN_4          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6                SQ_3            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             TES_BIAS_2         Disconnected        4.000000E+07        1.000000E+38    
